Country,R2,shift,C1_School closing,C1_School closing_Flag,C2_Workplace closing,C2_Workplace closing_Flag,C3_Cancel public events,C3_Cancel public events_Flag,C4_Restrictions on gatherings,C4_Restrictions on gatherings_Flag,C5_Close public transport,C5_Close public transport_Flag,C6_Stay at home requirements,C6_Stay at home requirements_Flag,C7_Restrictions on internal movement,C7_Restrictions on internal movement_Flag,C8_International travel controls,E1_Income support,E1_Income support_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Public information campaigns_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Facial Coverings_Flag,H7_Vaccination policy,H7_Vaccination policy_Flag,H8_Protection of elderly people,H8_Protection of elderly people_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary)
Togo,0.8339,2,0.00221332,0.000773644,0.001209491,4.45E-05,-9.39E-05,-0.000115534,-2.36E-05,0.000757166,0.00142978,0.000715352,0.001167575,0.000149833,0.0029737,0.000109722,-0.001079891,-0.002522715,0.0024879,0,-0.006286044,-0.002532741,-0.001437349,1.45E-05,-6.34E-07,-0.002585227,-0.000512438,-0.000243567,0.000483554,0,-0.000516287,-1.00E-07,-0.00018507,-7.13E-05,-0.000322124,0,0,0,0,0
Jamaica,0.9338,6,7.90E-05,0.000777048,0.000125656,0,0.000673855,4.15E-05,-0.00041965,0.000339554,0.00019811,4.11E-05,-0.00087522,0.003106834,0,-0.003949416,-0.004280414,-0.000142421,-8.68E-05,-0.001391696,-0.002070014,0.000783883,-0.001059125,-0.000779587,0.000768138,-0.003377199,0,-2.31E-05,-0.002205473,0.006154785,0.001007442,0,0.006407442,0,0.012022383,0.000186798,0,0.000273918,0,0
San Marino,0.898,3,0,0.002885219,-0.000251355,0.000484626,0.0006928,0.000474424,-0.005670899,0,0,0,0,-0.003374096,0,0,8.99E-05,0.001674993,-0.000464641,0.001494554,0.002007128,3.95E-05,0.001553873,0.001012848,-0.00015316,0,0.000230496,0.03574356,9.36E-05,0.001811325,0.000128402,0.000454667,0.003918366,1.55E-05,2.29E-05,0.000834061,-9.31E-05,0,0,0
Malaysia,0.8482,0,-0.001585105,-0.002354882,-7.57E-05,0.000878416,0.000483849,-0.001249184,-0.001229886,5.08E-05,9.54E-05,0.000820047,-0.001530249,-0.003387189,-0.000945774,0.000432874,0.000534457,-0.00038902,0,0.015710101,-0.001029809,-0.001863876,-0.002717277,0.001722277,-0.000231738,-0.00126535,-0.000716599,-0.00023617,0.0441952,0.042104444,0.034464072,0.009127737,-0.000238353,0,0,0,0,0,0,0
Japan,0.9338,5,-0.000459619,0.001209456,0.000226259,0.00030415,0.000448711,-0.000360837,-5.47E-06,0,-0.003973449,3.01E-05,-0.001022861,-0.00312974,0.000877557,-0.000348127,0,0.000727139,-9.33E-05,0.001378986,-0.00041936,0.000215738,0.0001095,-5.99E-05,0,-0.000365635,0,-3.13E-06,0.010352364,0.000708619,0.020664123,-0.002195654,0,0.01468083,0.000794599,0,-0.000298269,5.40E-05,0,0
Lesotho,0.8636,19,-0.014189602,0,-0.000997879,0,0.002464678,-0.001690651,0,0,-0.007326232,0,-0.000554195,0,-0.006934675,0,0.002206446,0.000628023,0.005461244,-0.003323316,0.00548536,0,0.004861913,-0.000679914,0.001490856,-0.005387312,-5.12E-05,0,-0.000143025,-0.000132203,0.000151667,-0.000117647,-8.76E-05,5.51E-05,0,0,0,0,0,0
Croatia,0.9452,8,-0.002159649,-0.001432348,-0.001278033,-0.000569468,-0.001558931,-6.56E-06,-5.61E-05,0.001461257,0.001107097,0.001742417,0.00018759,-0.000193399,0.004229205,0.002684132,0,0.000537857,-0.00012404,0,0.01448586,-0.000542815,-0.000680438,0.003322203,0.000130213,-0.002812869,0.000234528,-0.000558037,0.001963205,-0.002696935,0.003028531,-0.000174452,0.010687372,0,0.005221155,-0.000165977,8.78E-05,0,0,0
Denmark,0.9239,19,0.00025535,0.003322352,0,0,0,0,0.001478295,0,0,0,-0.000271514,0.000574126,0,-0.002291902,0.002640235,0.000246406,0.00011545,0.024300208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0.8562,0,0.012073946,-0.008115947,-0.002669771,0.011620452,0.010058369,-0.013396784,-0.0146921,0,0,-0.000317974,-6.07E-05,-0.000793801,-2.67E-05,-0.014584574,0.000606913,0,0.155010867,-0.013412961,-0.008275791,0,-0.00250601,0.062880169,0.002374579,3.86E-06,0.001048287,0.000554928,0.002264976,0.00081083,8.29E-05,0.000181354,0.001821706,-0.000356046,0.0536677,0.000585773,0.000431585,0.001235695,0.000881084,0
Kazakhstan,0.9168,1,-0.002421819,-0.002322007,5.87E-05,0.000164905,-0.002945329,-0.001778873,0.000586265,-0.003360844,0.000164053,0.00041931,-0.000589153,-0.009965239,-0.001733171,0.002773309,0,0,0.000410308,0.005281232,0,0.003589305,0.001495998,0.014254968,-0.002327223,-0.001117914,0.000118105,-0.000163258,-2.80E-05,-0.00076934,0.034554095,0.000622634,0.000376615,-0.000122762,0,0,0,0,0,0
