,CountryName,RegionName,Jurisdiction,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,cases,R_mean,R_var,Q0.025,Q0.5,Q0.975
2020-06-27,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,3.0,101.0,1.0190312383592404,0.0033236302838859895,0.9099990250336141,1.0179674359722823,1.1348490884088063
2020-06-28,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,3.0,101.0,1.018256031397787,0.0033055096304631095,0.9094448539580575,1.0171824094186128,1.1336120575034232
2020-06-29,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,3.0,103.0,1.019640987603112,0.003290665290219346,0.9105349969656473,1.018570236237162,1.1348597862271599
2020-06-30,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,3.0,103.0,1.0205694783390005,0.003287962519653291,0.9127347695061724,1.0194827642185647,1.1371703307343233
2020-07-01,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,3.0,103.0,1.0216933827198686,0.0032822905230846643,0.9129141927661888,1.020631976047706,1.1365456688210998
2020-07-02,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,104.0,1.019733340899041,0.003276211668799566,0.9111228798956772,1.0186488646632268,1.134959121267749
2020-07-03,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,3.0,104.0,1.0175415969097914,0.0032739685776039702,0.9088774697208651,1.0164618840691648,1.1325601889739125
2020-07-04,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0178162783142999,0.003248023093760906,0.9092208457787052,1.0167707005588658,1.1322392939605437
2020-07-05,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0181083139754448,0.003231398819448259,0.9093249560165221,1.017006412350502,1.133396891299919
2020-07-06,Aruba,,1,1.0,1.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,3.0,105.0,1.0173618910945557,0.003215491295882244,0.9096325125026885,1.0163294010839257,1.1309615613828883
